Subject,Session,Type
s1,1,DRY
s1,2,GEL
s1,3,GEL
s1,4,DRY
s1,5,GEL
s1,6,DRY
s1,7,GEL
s1,8,DRY
s1,9,DRY
s1,10,DRY
s1,11,GEL
s1,12,GEL
s2,1,GEL
s2,2,DRY
s2,3,DRY
s2,4,GEL
s2,5,GEL
s2,6,DRY
s2,7,GEL
s2,8,DRY
s2,9,GEL
s2,10,DRY
s2,11,GEL
s2,12,DRY
s3,1,GEL
s3,2,DRY
s3,3,GEL
s3,4,DRY
s3,5,DRY
s3,6,GEL
s3,7,GEL
s3,8,DRY
s3,9,DRY
s3,10,GEL
s3,11,DRY
s3,12,GEL
s5,1,GEL
s5,2,DRY
s5,3,GEL
s5,4,DRY
s5,5,DRY
s5,6,GEL
s5,7,GEL
s5,8,DRY
s5,9,DRY
s5,10,GEL
s5,11,GEL
s5,12,DRY
s6,1,GEL
s6,2,DRY
s6,3,DRY
s6,4,GEL
s6,5,GEL
s6,6,DRY
s6,7,GEL
s6,8,DRY
s6,9,GEL
s6,10,DRY
s6,11,GEL
s6,12,DRY
s7,1,DRY
s7,2,GEL
s7,3,GEL
s7,4,DRY
s7,5,GEL
s7,6,DRY
s7,7,GEL
s7,8,DRY
s7,9,DRY
s7,10,GEL
s7,11,GEL
s7,12,DRY
s8,1,GEL
s8,2,DRY
s8,3,GEL
s8,4,DRY
s8,5,DRY
s8,6,GEL
s8,7,GEL
s8,8,DRY
s8,9,GEL
s8,10,DRY
s8,11,DRY
s8,12,GEL
